time,seconds_elapsed,z,y,x
1733706832878697000,0.068697021484375,0.02435658875182271,-0.23538404236733912,0.5646364549994468
1733706832888717000,0.078717041015625,0.018352964422851798,-0.04919570032358169,-0.20981471682488917
1733706832898738000,0.088738037109375,0.06380991660952567,-0.001115267765522003,-0.7435539292573928
1733706832908758000,0.098758056640625,0.05380348637998104,-0.02364917113482952,-0.951354383650422
1733706832918777900,0.10877783203125,-0.003412292661517858,-0.10716741229891777,0.011771101814508437
1733706832928798000,0.1187978515625,-0.008110095088928937,-0.02450608022511005,0.26175124028921126
1733706832938818800,0.12881884765625,0.09764978849962354,-0.07865326547622681,0.20482757606208324
1733706832948839000,0.1388388671875,0.17208397497609257,-0.30723581113517284,0.6764718591094017
1733706832958858800,0.148858642578125,0.22870880238711833,-0.46257133427560326,1.2055074238955974
1733706832968879900,0.1588798828125,0.23137641416117546,-0.2588561033695936,0.47897301850020885
1733706832978900000,0.16889990234375,0.144662007304281,-0.09177811998724937,-0.1607043566972017
1733706832988919800,0.178919921875,0.018534604600071905,-0.07769406505525112,-0.599847469112277
1733706832998941000,0.18894091796875,-0.07892565267682075,0.016782207974791526,-0.6255570799082517
1733706833008960800,0.198960693359375,-0.04440963509082794,-0.017263269490003584,-0.26330256138443947
1733706833018980900,0.20898095703125,0.05222878440916538,-0.12013444589972495,0.24250118089616296
1733706833029000700,0.219000732421875,0.015689590432494877,-0.19458324542343616,0.5405658435821533
1733706833039021800,0.229021728515625,-0.004575198961049318,-0.17754852399230003,0.43393852950930595
1733706833049041700,0.239041748046875,0.060098348740488285,-0.11125731196105479,0.06918459538519382
1733706833059061800,0.249061767578125,0.08417334407195448,-0.09229717542529106,-0.36935295235216614
1733706833069082600,0.25908251953125,0.005237316131591796,-0.16955401810705661,-0.6751274587631225
1733706833079102700,0.269102783203125,-0.05480316494181752,-0.22929566236436366,-0.6165630415916442
1733706833089122800,0.279122802734375,-0.07062851058319211,-0.4470552007138729,-0.1657943733125925
1733706833099143700,0.289143798828125,-0.14250453700944782,-0.580106411331892,0.3212432936996221
1733706833109163800,0.299163818359375,-0.1709906267814338,-0.6401607748001813,0.49995150912106034
1733706833119184000,0.309183837890625,-0.04286693569347262,-0.6499100153982639,0.5237503178596497
1733706833129203700,0.31920361328125,0.10498656112849712,-0.6437690284252167,0.5160574252694845
1733706833139224800,0.329224853515625,0.2183155647970736,-1.5398714804530143,0.47518531665503977
1733706833149244700,0.33924462890625,0.07190276830270886,-1.081201829791069,0.8364069849997758
1733706833159264800,0.3492646484375,0.06588511544838548,-0.7185895838707685,0.5861299094051122
1733706833169286000,0.359285888671875,0.11631678730770945,-0.7780132482200861,0.4470762435019016
1733706833179305700,0.3693056640625,0.17511223675608634,-0.948409562370181,0.38961774174571034
1733706833189325800,0.379325927734375,0.38241526302099227,-1.0785188743174074,0.4662199199110269
1733706833199346700,0.3893466796875,0.4590158337511122,-0.980922423440218,0.41202889551818367
1733706833209366800,0.39936669921875,0.20456395668983457,-0.6463666437029838,0.3542588435947895
1733706833219387000,0.409386962890625,-0.22974106804430483,-0.20084522842764854,0.176285956710577
1733706833229407700,0.41940771484375,-0.44299211599342525,0.08194178562760353,-0.07031272263228892
1733706833239427800,0.429427734375,-0.44441944538280365,0.1644137326091528,-0.31612814264297484
1733706833249448000,0.439447998046875,-0.20976853959560393,0.15172610047161578,-0.303318929952383
1733706833259467800,0.4494677734375,0.12484518087394535,0.3036252194225788,-0.25377310101687905
1733706833269489000,0.459489013671875,0.13054368477649986,0.24466624997556208,-0.2265051548629999
1733706833279508700,0.4695087890625,-0.07201302374415099,-0.6724655460774898,0.29701018519699574
1733706833289528800,0.47952880859375,-0.13175466800145805,-0.9327718482553958,0.16756255202889442
1733706833299549700,0.4895498046875,-0.1589063673645258,-1.7204969276726245,0.8467255499184131
1733706833309569800,0.49956982421875,-0.06315700565874577,-2.2664275131583214,1.6318424926638602
1733706833319590000,0.50958984375,-0.12680376759581266,-1.3015472929805516,1.4474579851716756
1733706833329610800,0.51961083984375,-0.16333054048232734,-0.9829816940575837,1.2183066997140646
1733706833339630800,0.529630859375,-0.14819098514802753,-1.4307552721738814,0.6471425965115427
1733706833349651000,0.53965087890625,-0.06955993150360881,-1.774168896627426,0.33907442620545625
1733706833359670800,0.5496708984375,0.011771101814508437,-1.898458708640933,0.0902262143701315
1733706833369692000,0.55969189453125,-0.06833579653613268,-1.9319436296135186,-0.02811024219691753
1733706833379711700,0.569711669921875,-0.17962058102600276,-2.006864722824097,-0.13823825786709784
1733706833389731800,0.57973193359375,-0.2999954115528613,-1.8752327313542365,-0.1271118836969137
1733706833399753000,0.5897529296875,-0.21973631831519305,-1.4360685761511325,-0.15017010320127008
1733706833409772800,0.599772705078125,-0.14856084137372672,-1.0434972452968359,-0.04449292946010828
1733706833419793000,0.60979296875,-0.12744148097746075,-0.6914058088690042,0.0826639624223113
1733706833429813800,0.619813720703125,-0.23531733380667863,-0.2884446014255285,0.10023410590440034
1733706833439833900,0.629833740234375,-0.30920214277207847,0.06995499523580073,0.0738911656409502
1733706833449854000,0.63985400390625,-0.2488653821658343,0.41771629350483414,0.11091185952425002
1733706833459874800,0.649874755859375,-0.07629998034834862,0.8253829021602869,0.1454413211137056
1733706833469895000,0.65989501953125,0.04733041790835559,1.2051502810209989,0.1078042488977313
1733706833479915000,0.6699150390625,0.12006138066351413,1.6324726072609423,-0.10891980892419814
1733706833489934800,0.679934814453125,0.21161562876701354,2.1769980021238324,-0.29313392828553914
