time,seconds_elapsed,z,y,x
1733512128479981800,0.02898193359375,-0.00585604552179575,0.011643529869616032,-0.0047050584107637405
1733512128490001000,0.0390009765625,-0.006789510138332844,0.015146435238420963,-0.006690140813589096
1733512128500019200,0.049019287109375,-0.010207943618297577,0.014784245751798153,-0.002177414484322071
1733512128510038000,0.0590380859375,-0.010082269087433815,0.009847592562437057,0.0015763486735522747
1733512128520056000,0.06905615234375,-0.010399984195828438,-0.00036909221671521664,0.005019549746066332
1733512128530075100,0.0790751953125,-0.009290377609431744,-0.007534040603786707,0.0026187882758677006
1733512128540093000,0.089093017578125,-0.009166540578007698,-0.011497888714075089,0.0005947859026491642
1733512128550112000,0.099112060546875,-0.006096768192946911,-0.007978423498570919,-0.0018267513951286674
1733512128560130000,0.109130126953125,-0.00544642424210906,-0.003749856259673834,-0.0030075968243181705
1733512128570148900,0.11914892578125,-0.0019207189325243235,0.001833559013903141,-0.004529784899204969
1733512128580168000,0.12916796875,-0.0005270867259241641,0.0019712443463504314,-0.006779623217880726
1733512128590186200,0.139186279296875,0.0017838169587776065,0.000006708083674311638,-0.009165551513433456
1733512128600205000,0.149205078125,0.007229981478303671,0.002941778162494302,-0.004636579658836126
1733512128610223000,0.15922314453125,0.007611559703946114,0.008404060266911983,-0.006649964954704046
1733512128620242200,0.1692421875,0.01182920765131712,0.017480647191405296,-0.0074076345190405846
1733512128630260000,0.179260009765625,0.009856658056378365,0.02549879252910614,-0.011279146187007427
1733512128640279000,0.189279052734375,0.008895257487893105,0.03222993388772011,-0.016955142840743065
1733512128650298000,0.199298095703125,0.01146912295371294,0.029556799679994583,-0.014015166088938713
1733512128660316000,0.20931591796875,0.010690680705010891,0.028728023171424866,-0.013244979083538055
1733512128670335000,0.2193349609375,0.011219743639230728,0.019564323127269745,-0.006276510655879974
1733512128680353000,0.22935302734375,0.014285042881965637,0.015334958210587502,-0.00582963228225708
1733512128690372000,0.2393720703125,0.017506401985883713,0.0064040059223771095,-0.001115461578592658
1733512128700390100,0.24939013671875,0.021923255175352097,0.007021327503025532,-0.007192262448370457
1733512128710409000,0.259408935546875,0.02309856191277504,0.010937181301414967,-0.009081426076591015
1733512128720427000,0.269427001953125,0.024319088086485863,0.020028946921229362,-0.006864345166832209
1733512128730446000,0.279446044921875,0.025536416098475456,0.01854282058775425,-0.004179126117378473
1733512128740465000,0.28946484375,0.027228055521845818,0.022192416712641716,-0.005160234402865171
1733512128750483000,0.29948291015625,0.03141827508807182,0.023336593061685562,-0.00403233990073204
1733512128760502000,0.309501953125,0.031426265835762024,0.01935356855392456,-0.00006263190880417824
1733512128770520000,0.31952001953125,0.0283936969935894,0.01769956760108471,-0.0011388841085135937
1733512128780539100,0.3295390625,0.023736095055937767,0.013233445584774017,-0.00387634732760489
1733512128790557000,0.339556884765625,0.019116360694169998,0.018012002110481262,-0.0038499971851706505
1733512128800576000,0.349575927734375,0.017662541940808296,0.016891080886125565,-0.005526989698410034
1733512128810594000,0.359593994140625,0.01406442653387785,0.014964975416660309,-0.002386281732469797
1733512128820612900,0.36961279296875,0.011003122664988041,0.010564101859927177,-0.006730429828166962
1733512128830632000,0.3796318359375,0.008506461046636105,0.008051270619034767,0.0008247267105616629
1733512128840650000,0.38964990234375,0.00024799874518066645,0.010024672374129295,0.0009043552563525736
1733512128850668800,0.399668701171875,-0.007630858104676008,0.011694768443703651,0.0022777081467211246
1733512128860687000,0.40968701171875,-0.011545171961188316,0.014171242713928223,0.0036095548421144485
1733512128870706200,0.4197060546875,-0.024638494476675987,0.015293076634407043,-0.0007020984776318073
1733512128880724000,0.429723876953125,-0.03580965846776962,0.012894900515675545,-0.002638216596096754
1733512128890743000,0.439742919921875,-0.04719917103648186,0.005208435468375683,-0.001673124497756362
1733512128900761000,0.449760986328125,-0.0604499951004982,-0.008651986718177795,0.002840400906279683
1733512128910780000,0.45977978515625,-0.06930271536111832,-0.019906800240278244,0.004440203309059143
1733512128920799000,0.469799072265625,-0.07634065300226212,-0.03801310062408447,0.01116734929382801
