time,seconds_elapsed,z,y,x
1733511912337090800,47.5710908203125,-1.9472762233018874,-1.6464952873945236,-2.3021584594920275
1733511912347165700,47.58116577148437,-1.9267010527849195,-1.1630313872158526,-1.3544500311285257
1733511912357240600,47.59124047851562,-1.9483985053300856,-0.6634153936594724,-0.8028240835454314
1733511912367315700,47.601315673828125,-1.986725605636835,-0.30758243261575696,-0.43693683454245325
1733511912377390600,47.611390625,-2.0355659166514872,-0.05795066918730735,-0.11148322967141866
1733511912387465700,47.6214658203125,-2.0352280629992485,0.10362579416930674,0.18710121910497546
1733511912397539600,47.63153955078125,-1.9844962391495704,0.20744564960598944,0.42057453248016535
1733511912407614700,47.64161474609375,-1.933509563755989,0.25379531284868717,0.6322995399057865
1733511912417689900,47.65168994140625,-1.819762773066759,0.2868418424040079,0.7673965040724724
1733511912427764700,47.6617646484375,-1.6945757199525833,0.2656359727680683,0.8497732470512389
1733511912437840000,47.67183984375,-1.5083435387670994,0.22565935168862342,0.9507445811890065
1733511912447914500,47.68191455078125,-1.2871160320460795,0.2428010406255722,1.0488755773343146
1733511912457989600,47.69198974609375,-1.0592261448264122,0.30694822636544705,1.0690792841903864
1733511912468064800,47.70206469726563,-0.883175092850253,0.3655003685772419,0.8837886947039514
1733511912478139600,47.7121396484375,-0.8357902413409203,0.38041502911448477,0.5339690026003867
1733511912488213800,47.7222138671875,-0.9556207358580082,0.3293266469120979,0.13529621306583284
1733511912498288600,47.73228857421875,-1.1145639281015842,0.25608605413436886,-0.22990619547814128
1733511912508363800,47.74236376953125,-1.2660334965288638,0.19198972179889678,-0.46658619594015177
1733511912518438700,47.752438720703125,-1.3963282480455934,0.10210603725612163,-0.6169770292200147
1733511912528513800,47.762513671875,-1.5161527512133122,-0.02792962493300438,-0.6618711598921567
1733511912538588700,47.77258862304687,-1.6171639789700507,-0.16868892571032046,-0.5482187694881111
1733511912548663600,47.78266357421875,-1.7165736167490482,-0.13929098179042337,-0.35835857053119685
1733511912558738700,47.79273876953125,-1.7959084347486496,0.12840659968256948,-0.403013302956894
1733511912568813800,47.80281372070313,-1.8536919306755064,0.5756967781960964,-0.8197970648519695
1733511912578887700,47.8128876953125,-1.787498333799839,1.0334253486156464,-1.43573291445598
1733511912588962800,47.822962890625,-1.5196680658578872,1.3373720550775527,-2.081132758953422
1733511912599037700,47.83303759765625,-1.056562990031764,1.4515344408303499,-2.7125904412075874
1733511912609112800,47.84311279296875,-0.551805030477047,1.2946300609380006,-3.3152339707791803
1733511912619187700,47.85318774414063,-0.19880532009787857,0.8577081317037344,-3.809215173318982
1733511912629262600,47.8632626953125,-0.12183781575150787,0.3873749312549829,-4.117341211292147
1733511912639337500,47.87333740234375,-0.28391163417100906,0.07943126411139964,-4.206995178732276
1733511912649412400,47.883412353515624,-0.5454723203241825,-0.1444891349554062,-3.961570511604845
1733511912659487500,47.893487548828126,-0.7157716769058257,-0.3948036199510097,-3.3788363821178673
1733511912669561300,47.90356127929687,-0.6905506533443927,-0.6392337230831384,-2.7348271151959893
1733511912679636500,47.913636474609376,-0.6915010859370231,-0.9860749838978051,-2.225904217981547
1733511912689711400,47.92371142578125,-0.7600946566265075,-1.2156155609339474,-1.748131661312282
1733511912699786500,47.93378637695312,-0.9306535409271717,-1.1262778198361396,-1.246530923679471
1733511912709861600,47.943861572265625,-1.2279378668904304,-0.7498363705277442,-0.6800584123592823
1733511912719936300,47.953936279296876,-1.6821522917091845,-0.2643839268803596,-0.1947037299979478
1733511912730011400,47.96401147460937,-2.2900398594141005,0.18931144250035284,0.10165215600878
1733511912740086500,47.97408642578125,-3.0706127289891243,0.6346060632824897,0.256489520368725
1733511912750160400,47.98416040039063,-4.09063031449914,1.037157520881295,0.3812509684819728
1733511912760235500,47.994235595703124,-5.8244625245630735,1.4750252065330742,0.763259331202507
1733511912770310400,48.004310302734375,-9.171787916129826,2.0508628545045853,1.6840841365545987
1733511912780385500,48.01438549804688,-15.98199984589815,2.451591772851348,3.1070018469706175
1733511912790460400,48.02446044921875,-17.28227697281241,2.682557414254546,2.972608281832933
1733511912800535600,48.03453564453125,-11.508418846327066,2.8442952056527138,1.3230756725691257
1733511912810610400,48.0446103515625,-6.362440105217694,3.2593484174281357,0.1277848875876516
1733511912820685300,48.05468530273438,-2.688281052598357,3.8382407767951485,-0.5413811785530299
1733511912830760400,48.06476049804687,-0.4733171116303652,4.214610914433003,-1.158379835082963
1733511912840835300,48.07483544921875,1.1255325544267891,4.379363669738173,-1.825141543495655
1733511912850909400,48.08490942382812,2.4779443577259777,4.361440475034714,-2.195216380381584
1733511912860984300,48.094984375,3.7831127638131377,4.25659712176919,-2.2702336274430155
1733511912871059500,48.1050595703125,5.469172584354877,4.273268270584941,-2.2649650393903253
1733511912881134600,48.11513452148437,7.357138540554046,4.409894417080283,-2.159217576891929
1733511912891209500,48.12520947265625,9.324590705922246,4.513676278594136,-1.975347302532196
1733511912901284400,48.135284423828125,10.511358942556381,4.03525738684535,-1.27398109453246
1733511912911359500,48.145359375,10.579217257773875,3.486736784866452,-0.6497584050331264
1733511912921434400,48.15543432617188,9.850264685320854,2.996885813999176,-0.26170944697409865
1733511912931509500,48.165509521484374,8.594854874137043,2.128313758453727,-0.04125752773545682
1733511912941583400,48.17558325195313,7.2950775134384624,1.079098135510087,0.09374076182972639
1733511912951658500,48.185658447265624,6.078406890493631,0.20579846692085266,0.4065159773156047
1733511912961733400,48.1957333984375,4.733935817065834,-0.59827510522902,0.8338429797306657
1733511912971808500,48.20580859375,3.380535587251186,-1.426289524936676,0.8664290521673857
1733511912981883600,48.21588354492187,1.8710481391459701,-2.115786285313964,0.24128851717077193
1733511912991958300,48.225958251953124,0.2667372120082378,-2.4921318730324504,-1.0564936511225997
1733511913002033400,48.236033447265626,-0.12845219238996505,-2.3808283838421107,-2.187452029990405
1733511913012108300,48.2461083984375,0.7102768058165907,-2.2887176708996293,-2.5495421517327426
1733511913022183400,48.25618334960937,1.9226959087967872,-2.397325345134735,-2.3281717294096946
1733511913032257500,48.26625756835937,3.019774814416468,-2.7559166649758815,-1.8661562754511831
1733511913042332400,48.27633251953125,3.8647219564855098,-3.1684640314102173,-1.4329476676516235
1733511913052407600,48.286407470703125,4.44711706327647,-3.495032319524884,-1.072220797086507
1733511913062482400,48.296482421875,4.705530391314626,-3.846429343947768,-0.5944969018645584
1733511913072557600,48.3065576171875,4.795038520543277,-4.172131370621919,-0.150211311994493
1733511913082632400,48.316632568359374,4.795163315966725,-4.470816795554756,0.23259397325739264
1733511913092707300,48.326707275390625,4.801377952697873,-4.689996722096205,0.6411274278752506
1733511913102782500,48.33678247070313,4.866462711548805,-4.685605793660879,1.299485684275627
1733511913112857300,48.346857421875,4.867771163798868,-4.54509491468668,1.9401327812880276
1733511913122932500,48.356932373046874,4.763400396481156,-4.363662242737412,2.380174596108496
1733511913133006300,48.36700634765625,4.3934363264933225,-3.9317753850609063,2.7401024252504107
1733511913143081500,48.37708154296875,3.8835140429779886,-3.552715277686715,3.0162451789855957
1733511913153156600,48.387156494140626,3.342249403476715,-3.174561179241538,3.2040748584955927
1733511913163231500,48.3972314453125,2.691999780860543,-2.4011048636734484,3.5769629992365837
1733511913173306400,48.40730639648437,1.1751803824320435,-0.8674895210057496,4.172407849475741
1733511913183381200,48.41738134765625,-7.759274987611174,2.287030740725994,4.372538499893248
1733511913193456400,48.427456298828126,-20.945518910098073,6.6537231449395415,1.4192011741109192
1733511913203531500,48.43753149414062,-16.56352898350954,8.886590918323398,-0.23220526620075105
1733511913213606400,48.4476064453125,-8.29530201871991,8.78870863624215,0.3783247788369655
1733511913223680500,48.45768041992188,-3.1747108168452978,8.227237367275357,0.540687716396153
1733511913233755400,48.46775537109375,-0.3578407937347889,7.417167185059189,0.0004268471099436283
1733511913243830500,48.47783056640625,1.2031933017343281,5.856583755967021,-0.2738740781508386
1733511913253905400,48.48790551757813,1.388567989307642,4.1548862213104965,0.11017083189859986
